,utterance,intentClass,score
0,GG,O,0.003705064
1,gg,O,0.003705064
2,GG [SEPA] nice late game,O,0.027259592
3,FUK,E,0.46441117
4,;),O,0.004957139
5,yea i know,O,0.011913787
6,are you talking smack?,O,0.1969375
7,TY,O,0.006772118
8,retard ss [SEPA] reported,E,0.93164945
9,repot him [SEPA] report omni please,A,0.18637101
10,LOL,O,0.003834314
11,this chinese knows some english words,O,0.11228561
12,?,O,0.005423264
13,i dont care about that i need fair game,O,0.030001154
14,bara STUPID hoe,E,0.9831676
15,ggwp,O,0.003610623
16,lol :D,O,0.004220405
17,lol,O,0.003834314
18,Why are we all chatting?,O,0.019449381
19,rip,O,0.013280127
20,Ez,I,0.9906709
21,its 3vs5,O,0.011574428
22,Report Luna thx .. AFK [SEPA] level 6 lol!,A,0.013196723
23,wow really.... [SEPA] how much do you want to counter me,O,0.013272114
24,wez [SEPA] ez ?,I,0.99039525
25,team ezz,I,0.9258233
26,comment undy,A,0.012998228
27,wooden pc or just loptop,O,0.016964495
28,Creep missed,O,0.03071927
29,lol,O,0.003834314
30,team feed,I,0.6732922
31,+,O,0.00615749
32,you are so lucky necro left,O,0.43986753
33,please report axe,A,0.029980058
34,blink in,O,0.019104885
35,he got this,O,0.006280259
36,WHO KNEW ACID SPRAY DID GOOD,O,0.2223057
37,dafuq are u focusing on me [SEPA] but keep it on ;),O,0.2213662
38,ty for the game,O,0.01505219
39,haha,O,0.005444543
40,LOL? [SEPA] HAHA [SEPA] THAT RP,O,0.005218591
41,yeah  [SEPA] EBOLA,O,0.4633784
42,ggwp,O,0.003610623
43,my team is good,O,0.13994953
44,anyyhing sir,O,0.011883889
45,ez,I,0.9906709
46,gege,O,0.008831371
47,I mean lets be honest,O,0.30999598
48,LOL [SEPA] thanks guys [SEPA] so kind [SEPA] ez coins [SEPA] leave la  [SEPA] faster [SEPA] +250 coins +25 mmr [SEPA] thanks mang,I,0.936392
49,?D,O,0.006358321
50,noob qop,E,0.98096555
51,GG WP [SEPA] TNX [SEPA] <EPPI [SEPA] AHHAHAHAH [SEPA] 0-4 [SEPA] WHY [SEPA] IN MY TEAM [SEPA] LAST PICK MEPPO [SEPA] 0-4,I,0.13830765
52,one man army,O,0.019020313
53,NICE [SEPA] FUCK YEAH [SEPA] NICE [SEPA] CUMBACK CUMBACK,E,0.96807307
54,you will lose AA [SEPA] xD,O,0.020236969
55,pudsge is fun as shit when your drunk,E,0.9750089
56,5 carry,O,0.040716954
57,ty,O,0.006772118
58,viva la peru,E,0.17487888
59,please i coommend all  [SEPA] if u reported this fukking invoker  [SEPA] PLEASE,E,0.31445616
60,gg,O,0.003705064
61,where did u go io xD,O,0.024059916
62,Worth?,O,0.009605329
63,ok,O,0.005705491
64,more like [SEPA] they didnt allow me to jack off,O,0.02189958
65,bitch,E,0.9798282
66,ie he told u to jump off a cliff?,O,0.018076258
67,yup,O,0.005701086
68,report omni [SEPA] please :v [SEPA] that rat [SEPA] go lol,A,0.05101855
69,ur skill is perfect have to say,O,0.024738947
70,,O,0.004165188
71,commend wd,A,0.007952946
72,papech podrubil,O,0.034667052
73,rofl this team,O,0.043599814
74,wow,O,0.006569161
75,kk,O,0.007085071
76,also you picked winter wyvern [SEPA] i dont know  [SEPA] how you are talking about gay picks [SEPA] riki isnt even considered strong  [SEPA] maybe you just need to suck less ?,E,0.63240606
77,seeu,O,0.007490553
78,g,A,0.004313199
79,not real [SEPA] you suck in mid [SEPA] bitch [SEPA] stfu [SEPA] noob [SEPA] my supps feed you,E,0.98796695
80,wp [SEPA] that was a very well launched flare,O,0.008114989
81,gg,O,0.003705064
82,commend spec [SEPA] lel,A,0.015786607
83,lol,O,0.003834314
84,gift me immop [SEPA] that hook [SEPA] :),O,0.023529872
85,:d [SEPA] sad,O,0.007567054
86,oh what [SEPA] fuck,O,0.9703536
87,rekt [SEPA] hahaa [SEPA] XD,O,0.06941752
88,Ez your ass,I,0.9902304
89,bladmail,O,0.02188187
90,why?,O,0.005917509
91,stop aime?,O,0.012406609
92,MY team is full of retards,E,0.9680196
93,Ahi ta p,O,0.005586925
94,let me finish this game fast,O,0.02662054
95,haha,O,0.005444543
96,:P,O,0.004344692
97,GGWP!~,O,0.005212868
98,Ayyyy,O,0.012970509
99,idiots,E,0.941355
100,had to create so much space,O,0.007967876
101,gg ursa,O,0.01639974
102,wp,O,0.004130142
103,nice your team dead,O,0.2117121
104,report qop,A,0.021532426
105,it was,O,0.006324054
106,first time he plays carry [SEPA] ;3,O,0.048951596
107,rofl,O,0.008073466
108,:),O,0.005566981
109,YEA [SEPA] I HAVE TERRORBLADE IN MY TEAM [SEPA] GG,O,0.23284401
110,gg.,O,0.003766509
111,hahaha,O,0.006264759
112,sorry but u got carried bro,O,0.020911159
113,afk farm alch gg,I,0.039719794
