utterance,intentClass,score
FUK,E,0.47772613
please i coommend all  if u reported this fukking invoker  PLEASE,E,0.4575469
how can u win with 4 peruvians on ur team ?? think about it,E,0.165053
aa rapes alche,E,0.39231625
"My team is feeding so much, our team name is Soup Kitchen",E,0.06579731
GG NOOBS ez life ez noobs,E,0.30527395
gg noob team too late to put wards,E,0.33504707
its your moms name,E,0.28087774
resdtart go,E,0.19789438
report puck pls,E,0.2412222
1v1 noobs,E,0.31963667
cyka dazzle,E,0.22846605
peru win <3,E,0.018974753
invoker  wtf,E,0.32182294
doom goes alone too much fking him,E,0.39987978
MORE MORE GANKS PLS TREASH,E,0.34757367
gg report this noobs,E,0.4475325
noob? 1v1 pls gg,E,0.24282593
gg wp noob storm,E,0.27047762
FEED,E,0.026028076
end fast another noob pinoy team,E,0.45549932
NC JOB fucking legend <# <3,E,0.3811502
gay hero,E,0.39021665
stfu enimga,E,0.44393396
better than new meta noob,E,0.2854937
LOL stfu u ranger,E,0.42349213
lol snip says ez worst player,E,0.30854854
fu,E,0.23523538
5k  trash,E,0.41910073
peruvian says it all,E,0.104361884
told them 1 year to come,E,0.025085296
gg peru internet,E,0.08241652
Noob team :/ Report team plis :/,E,0.23523538
these peruvians guys,E,0.15269235
yeah noob baby picker,E,0.44393396
report tinker pls nooob,E,0.4574824
BOBO,E,0.43720075
but huska really .......noob,E,0.43230394
worst earth shaker,E,0.2854869
lucky basterds :),E,0.44393396
noobs,E,0.36456755
the noob was your es actually,E,0.37751234
ez points stupid aa,E,0.3245134
noob team,E,0.3722269
stfu weaboo ,E,0.42129645
1 much void tard,E,0.23667802
GG noobs 0-8 sven Reported,E,0.23812068
Rofl waht was that? noob?,E,0.3302291
little insect for me,E,0.19986437
you got noob pc,E,0.4013387
RUSSTARD,E,0.4269174
wtf haha,E,0.37751234
bad play sniper,E,0.1996317
speak russian,E,0.05824285
hmm if i have more report tickect i would be happy report him,E,0.11336674
joke cm,E,0.09828771
not accepted too obvious,E,0.041915078
nice joke mate,E,0.07291982
stupid team ez,E,0.49139655
omni picker die,E,0.47886392
So EZ mid lol Stupid,E,0.3666224
#idol,E,0.05651112
EAYH MID FAIL NOOB BS,E,0.39644176
ez mmr  fukcing bying acc,E,0.45090583
peru ta izz emdio dijo q llevaran hahaha,E,0.31825066
omg alche peruvian 5k  bought an account,E,0.17111848
BALANCED FUCKING HERO,E,0.4269174
1v1 me gay,E,0.44933176
AM biggest noob,E,0.3127066
HE SAID HES LAGGING SO HES FEEDING  WAT A PEENOYS COME TO PLAY,E,0.4269174
end fast plis my team noob,E,0.37751234
mad cause bad morph?,E,0.1991664
wp report rexxar,E,0.077668175
fkin ember cannot save vs tinker already tried the best to hook the game,E,0.4575469
dont spik englis,E,0.16851899
noobs?,E,0.27047762
