,matchId,conversationId,playerId,chatTime,intentClass,utterance,score
0,456,1987,OG,3031,O,GG,0.007052709814161062
1,132,509,Xion,2887,O,gg,0.007052709814161062
2,2905,12306,Im  good but my team is so  bad,2783,O,GG nice late game,0.0055657243356108665
3,2835,12001,Huesos NRG,1481,E,FUK,0.21925389766693115
4,459,1996,Camioncito4k,1945,O,;),0.026480939239263535
5,512,2271,Jessie,291,O,yea i know,0.011938038282096386
6,521,2330,Kitzo,965,O,are you talking smack?,0.612193763256073
7,3020,12812,JORA_INVALID,2415,O,TY,0.003579642390832305
8,1540,6795,Odysseus,3430,E,retard ss reported,0.9959456324577332
9,574,2585,Electronic Hill,171,A,repot him report omni please,0.006073934491723776
10,1605,7020,-FzT_[K]eY-,1765,O,LOL,0.015588540583848953
11,777,3547,soy papá,2436,O,this chinese knows some english words,0.4679471254348755
12,2155,9241,RhastaMan (SNOOP),2456,O,?,0.003285833168774843
13,1182,5306,DnP,526,O,i dont care about that i need fair game,0.25206175446510315
14,2875,12160,1017,3342,E,bara STUPID hoe,0.9780307412147522
15,290,1217,saddest clown,2071,O,ggwp,0.020645931363105774
16,1600,7008,~.~,1295,O,lol :D,0.017442483454942703
17,2284,9757,Vaith Aesculapius,1806,O,lol,0.015588540583848953
18,514,2288,김이현_PariS_bY_NighT,425,O,Why are we all chatting?,0.0040780627168715
19,1584,6957,_myon,1675,O,rip,0.04177388176321983
20,1755,7603,Pegasus Fantasy  I'm Back,22,I,Ez,0.010071823373436928
21,2895,12255,Ｋａｒａｓｉｑｕｅ１�,2626,O,its 3vs5,0.06148036569356918
22,788,3591,Caladiao,1972,A,Report Luna thx .. AFK level 6 lol!,0.001010312931612134
23,2132,9152,[LYF] BAHUMBUG,-80,O,wow really.... how much do you want to counter me,0.005139611195772886
24,80,312,[ZTM].Carlos,3346,I,wez ez ?,0.007591942325234413
25,2971,12616,[You Porn],418,I,team ezz,0.11206452548503876
26,2212,9447,我只是路过的假面骑士,2307,A,comment undy,0.0033309145364910364
27,1445,6386,The^_^ Monster XD,-10,O,wooden pc or just loptop,0.021885452792048454
28,1913,8243,Uldred,168,O,Creep missed,0.7252596020698547
29,592,2678,The Seven Deadly Sins,448,O,lol,0.015588540583848953
30,308,1304,Arrowz,921,I,team feed,0.003490210510790348
31,2642,11267,Miracle-,608,O,+,0.005149607080966234
32,2889,12229,Waste of time,2720,O,you are so lucky necro left,0.9116528034210205
33,2645,11295,STARK,1737,A,please report axe,0.01578456163406372
34,2982,12640,322,1802,O,blink in,0.003953089471906424
35,641,2882,Gohan,1746,O,he got this,0.039974771440029144
36,1086,4880,Tohsaka Rin✿,138,O,WHO KNEW ACID SPRAY DID GOOD,0.11626138538122177
37,266,1080,F. Castro,1237,O,dafuq are u focusing on me but keep it on ;),0.18249835073947906
38,1838,7976,Hybrid,2084,O,ty for the game,0.0036856739316135645
39,338,1441,Chill,2535,O,haha,0.021739592775702477
40,1187,5334,Logic,868,O,LOL? HAHA THAT RP,0.0034496886655688286
41,491,2161,Fetty Wap,2169,O,yeah  EBOLA,0.058507006615400314
42,1202,5397,Jiten,3004,O,ggwp,0.020645931363105774
43,960,4304,St. Anger,1818,O,my team is good,0.006863781251013279
44,2121,9116,POPEYE,2729,O,anyyhing sir,0.062388136982917786
45,2055,8818,Standin.QQQQ,1758,I,ez,0.010071823373436928
46,1385,6079,kuroko,917,O,gege,0.026632411405444145
47,2136,9179,KenBeanNet,1973,O,I mean lets be honest,0.06014182046055794
48,32,117,Cheoklate,935,I,LOL thanks guys so kind ez coins leave la  faster +250 coins +25 mmr thanks mang,0.0020951859187334776
49,2291,9792,黑骑士,506,O,?D,0.0067449901252985
50,668,3034,Dream.Crusher,1984,E,noob qop,0.9695556163787842
51,1893,8166,666 Degrees桜,682,I,GG WP TNX <EPPI AHHAHAHAH 0-4 WHY IN MY TEAM LAST PICK MEPPO 0-4,0.48770007491111755
52,72,289,Sladoled,1751,O,one man army,0.04189131036400795
53,391,1667,Natasha Wilona,2982,E,NICE FUCK YEAH NICE CUMBACK CUMBACK,0.9565936326980591
54,2739,11676,R.oUcHtA  ^.........^,-51,O,you will lose AA xD,0.3265398442745209
55,491,2161,Fetty Wap,2141,E,pudsge is fun as shit when your drunk,0.295738160610199
56,2630,11194,Conficker,-74,O,5 carry,0.014799641445279121
57,1402,6157,MaX.OmEgA`,1163,O,ty,0.003579642390832305
58,2765,11770,SANTEEE,-26,E,viva la peru,0.05223085358738899
59,2501,10741,nygmA,2759,E,please i coommend all  if u reported this fukking invoker  PLEASE,0.9128255248069763
60,121,470,Digital Dash,2754,O,gg,0.007052709814161062
61,2130,9146,Deku Nut,2112,O,where did u go io xD,0.14104461669921875
62,1628,7122,Zimmer,1333,O,Worth?,0.0023827620316296816
63,2711,11545,Alemir,128,O,ok,0.016561338678002357
64,21,73,kangstag,2032,O,more like they didnt allow me to jack off,0.31284216046333313
65,505,2253,Kiera Vaper,598,E,bitch,0.03403615206480026
66,462,2001,Master Mirror,160,O,ie he told u to jump off a cliff?,0.05271640419960022
67,133,511,threeric,434,O,yup,0.022074388340115547
68,2456,10508,Pudd,1944,A,report omni please :v that rat go lol,0.9752018451690674
69,1474,6544,PENISS,2151,O,ur skill is perfect have to say,0.006277706474065781
70,470,2050,soy papá,1504,O,,0.5178985595703125
71,1584,6959,Jar Jar Dinks,2120,A,commend wd,0.004709205590188503
72,1949,8381,ennui,1789,O,papech podrubil,0.4083947539329529
73,876,3961,ayy lmao,1445,O,rofl this team,0.06221698224544525
74,694,3167,Yaki,437,O,wow,0.018404891714453697
75,1983,8536,F&Z,365,O,kk,0.0060503981076180935
76,894,4030,Rake,1933,E,also you picked winter wyvern i dont know  how you are talking about gay picks riki isnt even considered strong  maybe you just need to suck less ?,0.9636775851249695
77,664,3004,阴天快乐,3624,O,seeu,0.016481999307870865
78,2676,11412,f a n t a s t i c,-21,A,g,0.01182339433580637
79,2887,12208,sashafrosss,2455,E,not real you suck in mid bitch stfu noob my supps feed you,0.9973836541175842
80,1101,4948,ECO.Nyx,1908,O,wp that was a very well launched flare,0.011298978701233864
81,142,556,Soy La Leche,2711,O,gg,0.007052709814161062
82,2550,10926,November's Chopin,3248,A,commend spec lel,0.014433953911066055
83,1584,6950,Hatsune Miku,41,O,lol,0.015588540583848953
84,2075,8907,`Kharlstien,1903,O,gift me immop that hook :),0.3083984851837158
85,709,3259,AS^SMCF,1443,O,:d sad,0.008577484637498856
86,2189,9363,bobby.shaw11,1227,O,oh what fuck,0.059701740741729736
87,601,2711,katOshka,680,O,rekt hahaa XD,0.048316068947315216
88,1839,7980,^RTZ^-™,2290,I,Ez your ass,0.9977349042892456
89,2326,9964,Newbiee.metaL,2623,O,bladmail,0.23656034469604492
90,1030,4628,its Good to be Bad,2756,O,why?,0.004007288720458746
91,1708,7438,Xtmm xiaoting,1665,O,stop aime?,0.0029464049730449915
92,2413,10362,kyoto,2696,E,MY team is full of retards,0.9852146506309509
93,2097,8987,マイエリカ,777,O,Ahi ta p,0.021145395934581757
94,1984,8540,Nikly,21,O,let me finish this game fast,0.022478504106402397
95,2626,11177,Haste La Veze,3214,O,haha,0.021739592775702477
96,1144,5151,Bro Mitzvah,1898,O,:P,0.00985985528677702
97,424,1803,Kevin Lolo!,3190,O,GGWP!~,0.024283867329359055
98,676,3055,stevey slick,2099,O,Ayyyy,0.020004287362098694
99,2037,8743,Lohari,2196,E,idiots,0.8601343035697937
100,2189,9371,YEHHH BOII!!!,2796,O,had to create so much space,0.03213106095790863
101,1243,5527,Tables,2222,O,gg ursa,0.20761606097221375
102,2007,8638,nmE,654,O,wp,0.009936418384313583
103,1273,5653,SAMKOOOOOOOOO,968,O,nice your team dead,0.7146778106689453
104,1615,7058,#OliveR,1477,A,report qop,0.005522650200873613
105,1037,4666,Jacinda,2955,O,it was,0.01595231518149376
106,1630,7130,airSofly,2315,O,first time he plays carry ;3,0.011309891939163208
107,408,1708,SF. Husker Du,291,O,rofl,0.04581994563341141
108,2482,10642,Vengeful,1299,O,:),0.024283867329359055
109,2954,12505,GGFacel,1480,O,YEA I HAVE TERRORBLADE IN MY TEAM GG,0.015335818752646446
110,2667,11375,DJ MC,2997,O,gg.,0.01046883873641491
111,288,1213,pod*D!,2625,O,hahaha,0.019813736900687218
