utterance,intentClass,score
team ezz,I,0.034277402
team feed,I,0.025792383
LOL thanks guys so kind ez coins leave la  faster +250 coins +25 mmr thanks mang,I,0.046368107
GG WP TNX <EPPI AHHAHAHAH 0-4 WHY IN MY TEAM LAST PICK MEPPO 0-4,I,0.041915078
so scare,I,0.08874765
3k sf take it easy you know how they are,I,0.1373533
easy mid report pls,I,0.040925518
lol,I,0.054037213
ez mirana game 1st time to play this hero as a carry XD thnak you ggwpp,I,0.059479803
From 6k down to here,I,0.02449606
alchemist feed,I,0.039935954
Fail slardar,I,0.17111848
TRY HARD?,I,0.04785245
neiter,I,0.17913748
easiest game of my life,I,0.039935954
best team ever 3-10 3-13 0-4 5-12,I,0.017592486
play 1 v1,I,0.022256956
go end i will feed cours top come come top,I,0.13908891
loan money,I,0.023553278
hey where can i download LoL?,I,0.06025757
what a game,I,0.03109552
1-7 xD PICK LC,I,0.02072494
Easy Easy game,I,0.02826718
account buyers is real,I,0.0201057
1-9 ggwp,I,0.029917045
quick brain surgery,I,0.13561769
why so ez? very ez,I,0.038048524
GG no wards no suppoort ez game not a single ward over here,I,0.09308127
last second 175 last hits thx challange won next for not ff ez pick pl,I,0.104361884
ez counter pick with slada and bounty hihi,I,0.08795626
rofl tiny account buyer,I,0.15600902
EZZZ,I,0.022846194
sry dude,I,0.056263726
fail mid,I,0.11378009
what a team..,I,0.025203144
"And he comes right in, to me",I,0.032863233
Bad day,I,0.05205809
ez mmr for u,I,0.059479803
SEE SF FEED FEED,I,0.06263174
mid and carry too fail la hahahaha,I,0.10783285
wow you can speak english,I,0.04785245
bet more plz not enuf BET MORE PLZ QOP 2k,I,0.045131154
u mean stack in 3k,I,0.017969469
with mid feeder haha,I,0.08083374
axe didnt even use his ulti,I,0.085582085
you?= jajaja 3-9,I,0.02638162
we are in 1k,I,0.037105743
wp gg ez,I,0.053295042
what pudge ? pudge what r u saying?,I,0.19124292
i eat too much chicken,I,0.06500591
3k attitude nowadays,I,0.059727192
last pick random alche counter pick we have a 2 8k am and alche friends,I,0.079250954
lol nice comeback kid,I,0.10002319
did you buy an account?,I,0.027677942
EZ so much help at mid Still get owned,I,0.055521555
offlane was ez too,I,0.031449065
JUST QUIT DOTA 2 PLS,I,0.10089093
Ez game with 2k players,I,0.027677942
you cant fin this ez game know why?,I,0.083999306
chicken?,I,0.05230548
RAGE QUITRR,I,0.123468354
bot was easier tbh,I,0.05205809
1 vs 5,I,0.016210219
tri top ez win :D,I,0.016838523
easy mmr boys bruhh easy bruhh mmr ma bruuuhh,I,0.104795754
funny ez,I,0.045873325
tower ez bye bye bye talk talk void PA,I,0.049584184
"u feeling good, pa?",I,0.023553278
ez u not pro,I,0.038991302
nice 5k,I,0.049089402
ez game ez life just ff,I,0.032391842
hopefully he wont be in ur team next game,I,0.10002319
spanish please :3,I,0.026263772
gg wp ff go ff nice play Ez team thx,I,0.039226998
WAITING TO MY HC GET ITEMS,I,0.028031485
andu really afk famr and made us lose,I,0.19893374
easiest game of my life,I,0.039935954
profeed?,I,0.013634177
mmr booster  how ironic name,I,0.16043124
too ez,I,0.03639866
LMAO,I,0.07450261
Easy game,I,0.023788974
