,matchId,conversationId,playerId,chatTime,intentClass,utterance,score
0,456,1987,OG,3031,O,GG,0.07572552561759949
1,132,509,Xion,2887,O,gg,0.07572552561759949
2,2905,12306,Im  good but my team is so  bad,2783,O,GG nice late game,0.018270516768097878
3,2835,12001,Huesos NRG,1481,E,FUK,0.9959675073623657
4,459,1996,Camioncito4k,1945,O,;),0.0009301933459937572
5,512,2271,Jessie,291,O,yea i know,0.002950717229396105
6,521,2330,Kitzo,965,O,are you talking smack?,0.09265058487653732
7,3020,12812,JORA_INVALID,2415,O,TY,0.13184742629528046
8,1540,6795,Odysseus,3430,E,retard ss reported,0.8895419239997864
9,574,2585,Electronic Hill,171,A,repot him report omni please,0.006083338055759668
10,1605,7020,-FzT_[K]eY-,1765,O,LOL,0.009585244581103325
11,777,3547,soy papá,2436,O,this chinese knows some english words,0.0008818195201456547
12,2155,9241,RhastaMan (SNOOP),2456,O,?,0.0009243296226486564
13,1182,5306,DnP,526,O,i dont care about that i need fair game,0.026309432461857796
14,2875,12160,1017,3342,E,bara STUPID hoe,0.9858026504516602
15,290,1217,saddest clown,2071,O,ggwp,0.017286844551563263
16,1600,7008,~.~,1295,O,lol :D,0.001992599805817008
17,2284,9757,Vaith Aesculapius,1806,O,lol,0.009585244581103325
18,514,2288,김이현_PariS_bY_NighT,425,O,Why are we all chatting?,0.000673512986395508
19,1584,6957,_myon,1675,O,rip,0.363118439912796
20,1755,7603,Pegasus Fantasy  I'm Back,22,I,Ez,0.00734320841729641
21,2895,12255,Ｋａｒａｓｉｑｕｅ１�,2626,O,its 3vs5,0.002252058358862996
22,788,3591,Caladiao,1972,A,Report Luna thx .. AFK level 6 lol!,0.0040973699651658535
23,2132,9152,[LYF] BAHUMBUG,-80,O,wow really.... how much do you want to counter me,0.003174726851284504
24,80,312,[ZTM].Carlos,3346,I,wez ez ?,0.012996264733374119
25,2971,12616,[You Porn],418,I,team ezz,0.004496951587498188
26,2212,9447,我只是路过的假面骑士,2307,A,comment undy,0.0031184456311166286
27,1445,6386,The^_^ Monster XD,-10,O,wooden pc or just loptop,0.001442036940716207
28,1913,8243,Uldred,168,O,Creep missed,0.03165195509791374
29,592,2678,The Seven Deadly Sins,448,O,lol,0.009585244581103325
30,308,1304,Arrowz,921,I,team feed,0.00085974030662328
31,2642,11267,Miracle-,608,O,+,0.001224303268827498
32,2889,12229,Waste of time,2720,O,you are so lucky necro left,0.12472377717494965
33,2645,11295,STARK,1737,A,please report axe,0.0008362759253941476
34,2982,12640,322,1802,O,blink in,0.04958968609571457
35,641,2882,Gohan,1746,O,he got this,0.0011561381397768855
36,1086,4880,Tohsaka Rin✿,138,O,WHO KNEW ACID SPRAY DID GOOD,0.024247538298368454
37,266,1080,F. Castro,1237,O,dafuq are u focusing on me but keep it on ;),0.002487118588760495
38,1838,7976,Hybrid,2084,O,ty for the game,0.01029246300458908
39,338,1441,Chill,2535,O,haha,0.012916994281113148
40,1187,5334,Logic,868,O,LOL? HAHA THAT RP,0.016427861526608467
41,491,2161,Fetty Wap,2169,O,yeah  EBOLA,0.03665878623723984
42,1202,5397,Jiten,3004,O,ggwp,0.017286844551563263
43,960,4304,St. Anger,1818,O,my team is good,0.0006113225244916975
44,2121,9116,POPEYE,2729,O,anyyhing sir,0.0327325277030468
45,2055,8818,Standin.QQQQ,1758,I,ez,0.00734320841729641
46,1385,6079,kuroko,917,O,gege,0.03831056132912636
47,2136,9179,KenBeanNet,1973,O,I mean lets be honest,0.0008805433171801269
48,32,117,Cheoklate,935,I,LOL thanks guys so kind ez coins leave la  faster +250 coins +25 mmr thanks mang,0.0014303874922916293
49,2291,9792,黑骑士,506,O,?D,0.0013300299178808928
50,668,3034,Dream.Crusher,1984,E,noob qop,0.09017016738653183
51,1893,8166,666 Degrees桜,682,I,GG WP TNX <EPPI AHHAHAHAH 0-4 WHY IN MY TEAM LAST PICK MEPPO 0-4,0.023731889203190804
52,72,289,Sladoled,1751,O,one man army,0.0011104705044999719
53,391,1667,Natasha Wilona,2982,E,NICE FUCK YEAH NICE CUMBACK CUMBACK,0.994933545589447
54,2739,11676,R.oUcHtA  ^.........^,-51,O,you will lose AA xD,0.0639340952038765
55,491,2161,Fetty Wap,2141,E,pudsge is fun as shit when your drunk,0.9768547415733337
56,2630,11194,Conficker,-74,O,5 carry,0.006446999963372946
57,1402,6157,MaX.OmEgA`,1163,O,ty,0.13184742629528046
58,2765,11770,SANTEEE,-26,E,viva la peru,0.03436069190502167
59,2501,10741,nygmA,2759,E,please i coommend all  if u reported this fukking invoker  PLEASE,0.8288305997848511
60,121,470,Digital Dash,2754,O,gg,0.07572552561759949
61,2130,9146,Deku Nut,2112,O,where did u go io xD,0.011317728087306023
62,1628,7122,Zimmer,1333,O,Worth?,0.001505858963355422
63,2711,11545,Alemir,128,O,ok,0.0011767183896154165
64,21,73,kangstag,2032,O,more like they didnt allow me to jack off,0.9006688594818115
65,505,2253,Kiera Vaper,598,E,bitch,0.9947314262390137
66,462,2001,Master Mirror,160,O,ie he told u to jump off a cliff?,0.14285960793495178
67,133,511,threeric,434,O,yup,0.0007131388410925865
68,2456,10508,Pudd,1944,A,report omni please :v that rat go lol,0.4387025237083435
69,1474,6544,PENISS,2151,O,ur skill is perfect have to say,0.0012558038579300046
70,470,2050,soy papá,1504,O,,0.0019954408053308725
71,1584,6959,Jar Jar Dinks,2120,A,commend wd,0.0017738710157573223
72,1949,8381,ennui,1789,O,papech podrubil,0.0393170528113842
73,876,3961,ayy lmao,1445,O,rofl this team,0.04212135449051857
74,694,3167,Yaki,437,O,wow,0.0010622779373079538
75,1983,8536,F&Z,365,O,kk,0.005652021151036024
76,894,4030,Rake,1933,E,also you picked winter wyvern i dont know  how you are talking about gay picks riki isnt even considered strong  maybe you just need to suck less ?,0.933319628238678
77,664,3004,阴天快乐,3624,O,seeu,0.003977627493441105
78,2676,11412,f a n t a s t i c,-21,A,g,0.0014935702783986926
79,2887,12208,sashafrosss,2455,E,not real you suck in mid bitch stfu noob my supps feed you,0.9981653094291687
80,1101,4948,ECO.Nyx,1908,O,wp that was a very well launched flare,0.0012443519663065672
81,142,556,Soy La Leche,2711,O,gg,0.07572552561759949
82,2550,10926,November's Chopin,3248,A,commend spec lel,0.002794963773339987
83,1584,6950,Hatsune Miku,41,O,lol,0.009585244581103325
84,2075,8907,`Kharlstien,1903,O,gift me immop that hook :),0.0011756244348362088
85,709,3259,AS^SMCF,1443,O,:d sad,0.0093001089990139
86,2189,9363,bobby.shaw11,1227,O,oh what fuck,0.9885619878768921
87,601,2711,katOshka,680,O,rekt hahaa XD,0.024459045380353928
88,1839,7980,^RTZ^-™,2290,I,Ez your ass,0.9950055480003357
