utterance,intentClass,score
Ez your ass,I,0.9977349042892456
u will lose),I,0.60905921459198
ez mirana game 1st time to play this hero as a carry XD thnak you ggwpp,I,0.5076669454574585
Fail slardar,I,0.5745439529418945
useless,I,0.8878868818283081
go end i will feed cours top come come top,I,0.958304226398468
thanks.. idiots,I,0.9908567667007446
This tema.. Team So fucking bad Feeding all of you And then blame me :) So fucking useless all of them,I,0.7304341197013855
ez clinkz get analed,I,0.920647144317627
Abuser meepo end please,I,0.6769403219223022
nope Ur FAIL PUDGE,I,0.9927951693534852
you?= jajaja 3-9,I,0.81552654504776
ez 4.3 randoms gold advantage but so stupids hahah see,I,0.6154635548591614
HOW R U THIS BAD SLARK?,I,0.6381027102470398
WOW U KILL SUPPORT COMMEND,I,0.5473052859306335
ez ezzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzzz,I,0.9748929738998412
crackwhores kid turned router off,I,0.9269675612449646
loser,I,0.9573974013328552
ez tacnies so ez,I,0.5883275270462036
ez balanar haha 2k kid  feeder wp,I,0.5704061388969421
i sacrifish now we can kill u 3 times,I,0.995969295501709
if u dont shut up ill report u,I,0.9878996014595032
f f throne pls just finis h can u insult us in english pls,I,0.9721250534057616
bully sf like bull blind kid,I,0.96518474817276
Are u sir?) HAH EZ) U ALL DUE DUE DIE EZ BABY,I,0.8518295884132385
oh ur dog dc  sry,I,0.7188905477523804
ez troll,I,0.5106490254402161
linch o . . m . g,I,0.9644890427589417
this alch wins sadly,I,0.6185787916183472
wtf pudge,I,0.666279673576355
end fast plz end gogogo kill me,I,0.9811307191848756
you mad?,I,0.8677098155021667
your all mad now didjnt care when qop fed,I,0.6749081611633301
pudge feeder killing ppl on purpose u will get him in next game probably and it wont be intresting as it seems now so report him,I,0.5526151657104492
alright your a 19 year old white guy in his first year of uni 4Head,I,0.826151430606842
cancer faggot lane,I,0.9983927607536316
you arent even funny stop trying so hard,I,0.872184157371521
retard sd Noob spirit wuith eagis? ez,I,0.9881537556648254
u have nothing better to do? then following me an then die?,I,0.9851861596107484
inchoker inchoker inchoker,I,0.8887105584144592
why are our creeps feeding you guys this is so unfair.,I,0.5748870968818665
report pudge for feeding and mute him,I,0.7177543640136719
Zzzzz im sick with these puases srsly,I,0.6295468807220459
WTF AM ? USE BLINK,I,0.914290726184845
